family,variant,level,pk,sk,sig,keygen_med_us,keygen_p95_us,sign_med_us,sign_p95_us,verify_med_us,verify_p95_us,samples
classical,ed25519,1,32,32,64,10.354,10.891,11.152,12.294,23.354,28.922,1000
ml-dsa,mldsa44,2,1312,2560,2420,16.824,18.524,39.376,127.766,18.157,22.067,300
ml-dsa,mldsa65,3,1952,4032,3309,28.714,40.016,70.643,189.673,29.523,33.691,300
ml-dsa,mldsa87,5,2592,4896,4627,45.328,57.297,92.371,208.592,45.788,57.841,200
fn-dsa,fndsa512,1,897,1281,657,4436.344,7336.527,144.779,160.155,29.747,33.046,100
fn-dsa,fndsa1024,5,1793,2305,1271,12259.825,19706.199,288.119,316.421,57.568,69.099,100
slh-dsa,slhdsa128s,1,32,64,7856,15715.827,16032.077,119924.491,121446.170,186.717,212.124,30
slh-dsa,slhdsa128f,1,32,64,17088,249.031,281.745,5776.770,6123.905,482.571,501.800,30
slh-dsa,slhdsa256s,5,64,128,29792,15425.775,15807.723,204268.789,206991.578,390.761,418.381,20
slh-dsa,slhdsa256f,5,64,128,49856,947.072,967.832,20632.293,21200.126,708.502,764.816,20
