family,variant,level,pk,sk,sig,keygen_med_us,keygen_p95_us,sign_med_us,sign_p95_us,verify_med_us,verify_p95_us,samples
classical,ed25519,1,32,32,64,10.379,10.989,11.167,12.421,28.475,32.903,1000
ml-dsa,mldsa44,2,1312,2560,2420,16.836,20.728,40.421,120.678,18.179,22.641,300
ml-dsa,mldsa65,3,1952,4032,3309,28.704,34.179,70.267,204.420,29.534,34.293,300
ml-dsa,mldsa87,5,2592,4896,4627,45.454,56.971,91.360,215.345,46.106,56.539,200
fn-dsa,fndsa512,1,897,1281,658,4130.715,7204.059,145.793,172.671,29.904,39.850,100
fn-dsa,fndsa1024,5,1793,2305,1268,12199.199,23199.786,288.394,325.616,57.854,69.611,100
slh-dsa,slhdsa128s,1,32,64,7856,15804.892,16318.704,119740.676,121617.834,186.078,205.847,30
slh-dsa,slhdsa128f,1,32,64,17088,245.444,276.703,5808.484,6130.790,485.087,538.321,30
slh-dsa,slhdsa256s,5,64,128,29792,15626.930,16184.787,205429.133,208439.521,389.198,406.344,20
slh-dsa,slhdsa256f,5,64,128,49856,946.011,990.424,20489.494,21301.883,714.719,758.414,20
