family,variant,level,pk,sk,sig,keygen_med_us,keygen_p95_us,sign_med_us,sign_p95_us,verify_med_us,verify_p95_us,samples
classical,ed25519,1,32,32,64,10.510,10.698,11.072,12.455,23.457,25.592,1000
ml-dsa,mldsa44,2,1312,2560,2420,61.475,67.901,195.719,563.018,66.842,75.184,300
ml-dsa,mldsa65,3,1952,4032,3309,114.816,125.057,328.588,1038.440,109.477,122.225,300
ml-dsa,mldsa87,5,2592,4896,4627,176.552,191.860,454.392,1133.686,188.096,293.751,200
fn-dsa,fndsa512,1,897,1281,656,8974.367,16087.522,2815.125,3094.682,32.591,35.888,100
fn-dsa,fndsa1024,5,1793,2305,1269,25833.457,47205.445,6002.374,6252.925,61.848,67.525,100
slh-dsa,slhdsa128s,1,32,64,7856,49656.448,50425.839,380642.688,400050.215,375.584,542.484,30
slh-dsa,slhdsa128f,1,32,64,17088,775.156,840.296,18549.528,20124.782,1090.776,1263.870,30
slh-dsa,slhdsa256s,5,64,128,29792,51370.531,54379.193,609255.948,637593.246,841.011,867.570,20
slh-dsa,slhdsa256f,5,64,128,49856,2999.628,3243.584,63062.685,66340.993,1692.730,1873.634,20
