variant,family,level,pk,sk,sig,verify_avx2_us,verify_portable_us,sign_avx2_us,sign_portable_us,keygen_avx2_us,keygen_portable_us,verify_speedup_portable_over_avx2
ed25519,classical,1,32,32,64,28.475,23.457,11.167,11.072,10.379,10.51,0.82
mldsa44,ml-dsa,2,1312,2560,2420,18.179,66.842,40.421,195.719,16.836,61.475,3.68
mldsa65,ml-dsa,3,1952,4032,3309,29.534,109.477,70.267,328.588,28.704,114.816,3.71
mldsa87,ml-dsa,5,2592,4896,4627,46.106,188.096,91.36,454.392,45.454,176.552,4.08
fndsa512,fn-dsa,1,897,1281,658,29.904,32.591,145.793,2815.125,4130.715,8974.367,1.09
fndsa1024,fn-dsa,5,1793,2305,1268,57.854,61.848,288.394,6002.374,12199.199,25833.457,1.07
slhdsa128s,slh-dsa,1,32,64,7856,186.078,375.584,119740.676,380642.688,15804.892,49656.448,2.02
slhdsa128f,slh-dsa,1,32,64,17088,485.087,1090.776,5808.484,18549.528,245.444,775.156,2.25
slhdsa256s,slh-dsa,5,64,128,29792,389.198,841.011,205429.133,609255.948,15626.93,51370.531,2.16
slhdsa256f,slh-dsa,5,64,128,49856,714.719,1692.73,20489.494,63062.685,946.011,2999.628,2.37
