t,k,naive,qa,save_obs,save_pred,rho_obs,rho_pred
2,0,13935,667,13268,13268.0,0.95213,0.96876
2,1,13935,7301,6634,6634.0,0.47607,0.48438
2,2,13935,13935,0,0.0,0.0,0.0
3,0,20783,881,19902,19902.0,0.95761,0.96876
3,1,20783,7515,13268,13268.0,0.63841,0.64584
3,2,20783,14149,6634,6634.0,0.3192,0.32292
3,3,20783,20783,0,0.0,0.0,0.0
4,0,27631,1095,26536,26536.0,0.96037,0.96876
4,1,27631,7729,19902,19902.0,0.72028,0.72657
4,2,27631,14363,13268,13268.0,0.48019,0.48438
4,3,27631,20997,6634,6634.0,0.24009,0.24219
4,4,27631,27631,0,0.0,0.0,0.0
5,0,34479,1309,33170,33170.0,0.96203,0.96876
5,1,34479,7943,26536,26536.0,0.76963,0.77501
5,2,34479,14577,19902,19902.0,0.57722,0.58126
5,3,34479,21211,13268,13268.0,0.38481,0.3875
5,4,34479,27845,6634,6634.0,0.19241,0.19375
5,5,34479,34479,0,0.0,0.0,0.0
7,0,48175,1737,46438,46438.0,0.96394,0.96876
7,1,48175,8371,39804,39804.0,0.82624,0.83037
7,2,48175,15005,33170,33170.0,0.68853,0.69197
7,3,48175,21639,26536,26536.0,0.55083,0.55358
7,4,48175,28273,19902,19902.0,0.41312,0.41518
7,5,48175,34907,13268,13268.0,0.27541,0.27679
7,6,48175,41541,6634,6634.0,0.13771,0.13839
7,7,48175,48175,0,0.0,0.0,0.0
9,0,61871,2165,59706,59706.0,0.96501,0.96876
9,1,61871,8799,53072,53072.0,0.85778,0.86112
9,2,61871,15433,46438,46438.0,0.75056,0.75348
9,3,61871,22067,39804,39804.0,0.64334,0.64584
9,4,61871,28701,33170,33170.0,0.53612,0.5382
9,5,61871,35335,26536,26536.0,0.42889,0.43056
9,6,61871,41969,19902,19902.0,0.32167,0.32292
9,7,61871,48603,13268,13268.0,0.21445,0.21528
9,8,61871,55237,6634,6634.0,0.10722,0.10764
9,9,61871,61871,0,0.0,0.0,0.0
