# primitive verify med(us): ed25519=21.931 fndsa512=25.299 hybrid=47.230
variant,t,k,m,mode,p25_us,med_us,p75_us,pred_med_us,resid_us
fndsa512,5,0,5,verifyall,113.706,114.216,116.633,109.655,4.561
fndsa512,5,1,5,verifyall,137.424,139.180,142.489,134.954,4.226
fndsa512,5,2,5,verifyall,163.771,165.305,171.194,160.253,5.052
fndsa512,5,3,5,verifyall,191.827,194.749,200.136,185.552,9.197
fndsa512,5,4,5,verifyall,217.067,219.239,226.269,210.851,8.388
fndsa512,5,5,5,verifyall,247.628,252.403,263.879,236.150,16.253
fndsa512,5,0,7,verifyall,156.028,156.438,159.875,,
fndsa512,5,0,7,shortcircuit,111.516,111.718,112.791,109.655,2.063
fndsa512,5,1,7,verifyall,181.591,182.927,189.184,,
fndsa512,5,1,7,shortcircuit,110.884,111.051,112.091,109.655,1.396
fndsa512,5,2,7,verifyall,208.792,210.811,217.896,,
fndsa512,5,2,7,shortcircuit,111.351,111.532,112.778,109.655,1.877
fndsa512,5,3,7,verifyall,235.963,238.139,247.539,,
fndsa512,5,3,7,shortcircuit,137.883,138.568,140.837,134.954,3.614
fndsa512,5,4,7,verifyall,263.459,268.338,275.752,,
fndsa512,5,4,7,shortcircuit,163.749,164.789,169.567,160.253,4.536
fndsa512,5,5,7,verifyall,292.956,299.118,306.824,,
fndsa512,5,5,7,shortcircuit,190.774,192.177,198.226,185.552,6.625
# fndsa512 sig length n=3000: min=648 med=655 max=662 mean=655.11
