# primitive verify med(us): ed25519=22.435 mldsa65=28.966 hybrid=51.401
variant,t,k,m,mode,p25_us,med_us,p75_us,pred_med_us,resid_us
mldsa65,5,0,5,verifyall,115.295,115.598,116.432,112.175,3.423
mldsa65,5,1,5,verifyall,143.993,145.395,147.146,141.141,4.254
mldsa65,5,2,5,verifyall,172.218,173.182,178.505,170.107,3.075
mldsa65,5,3,5,verifyall,202.044,203.289,211.104,199.073,4.216
mldsa65,5,4,5,verifyall,234.251,236.583,243.814,228.039,8.544
mldsa65,5,5,5,verifyall,260.342,261.993,271.194,257.005,4.988
mldsa65,5,0,7,verifyall,157.195,157.650,160.715,,
mldsa65,5,0,7,shortcircuit,112.273,112.522,113.729,112.175,0.347
mldsa65,5,1,7,verifyall,186.768,187.667,192.981,,
mldsa65,5,1,7,shortcircuit,112.309,112.629,114.285,112.175,0.454
mldsa65,5,2,7,verifyall,217.306,221.441,229.878,,
mldsa65,5,2,7,shortcircuit,112.799,116.812,119.234,112.175,4.637
mldsa65,5,3,7,verifyall,247.067,251.738,258.289,,
mldsa65,5,3,7,shortcircuit,141.823,142.384,145.106,141.141,1.243
mldsa65,5,4,7,verifyall,275.931,278.570,289.220,,
mldsa65,5,4,7,shortcircuit,170.519,171.695,178.723,170.107,1.588
mldsa65,5,5,7,verifyall,303.369,307.770,320.162,,
mldsa65,5,5,7,shortcircuit,199.736,201.488,210.373,199.073,2.415
