# primitive verify med(us): ed25519=27.081 fndsa512=26.791 hybrid=53.872
variant,t,k,m,mode,p25_us,med_us,p75_us,pred_med_us,resid_us
fndsa512,5,0,5,verifyall,110.249,110.530,110.942,135.405,-24.875
fndsa512,5,1,5,verifyall,137.293,139.702,142.151,162.196,-22.494
fndsa512,5,2,5,verifyall,164.150,165.934,169.634,188.987,-23.053
fndsa512,5,3,5,verifyall,192.200,195.405,198.413,215.778,-20.373
fndsa512,5,4,5,verifyall,227.255,231.389,237.147,242.569,-11.180
fndsa512,5,5,5,verifyall,257.764,260.627,266.219,269.360,-8.733
fndsa512,5,0,7,verifyall,156.560,156.791,158.879,,
fndsa512,5,0,7,shortcircuit,109.659,111.778,112.607,135.405,-23.627
fndsa512,5,1,7,verifyall,181.270,183.719,186.715,,
fndsa512,5,1,7,shortcircuit,108.621,112.372,145.433,135.405,-23.033
fndsa512,5,2,7,verifyall,212.323,214.063,218.057,,
fndsa512,5,2,7,shortcircuit,111.780,111.920,113.142,135.405,-23.485
fndsa512,5,3,7,verifyall,239.017,242.394,247.352,,
fndsa512,5,3,7,shortcircuit,136.136,136.697,139.288,162.196,-25.499
fndsa512,5,4,7,verifyall,270.658,274.080,279.466,,
fndsa512,5,4,7,shortcircuit,166.583,171.747,174.088,188.987,-17.240
fndsa512,5,5,7,verifyall,300.710,305.201,310.705,,
fndsa512,5,5,7,shortcircuit,196.464,198.777,206.265,215.778,-17.001
# fndsa512 sig length n=3000: min=648 med=655 max=662 mean=655.04
