# primitive verify med(us): ed25519=27.015 mldsa65=107.450 hybrid=134.465
variant,t,k,m,mode,p25_us,med_us,p75_us,pred_med_us,resid_us
mldsa65,5,0,5,verifyall,111.667,111.813,113.094,135.075,-23.262
mldsa65,5,1,5,verifyall,224.064,228.404,240.042,242.525,-14.121
mldsa65,5,2,5,verifyall,329.003,334.045,340.558,349.975,-15.930
mldsa65,5,3,5,verifyall,443.268,449.613,459.406,457.425,-7.812
mldsa65,5,4,5,verifyall,556.973,567.451,578.087,564.875,2.576
mldsa65,5,5,5,verifyall,670.729,680.437,695.354,672.325,8.112
mldsa65,5,0,7,verifyall,156.371,156.733,159.997,,
mldsa65,5,0,7,shortcircuit,109.269,109.517,112.667,135.075,-25.558
mldsa65,5,1,7,verifyall,265.194,269.514,276.410,,
mldsa65,5,1,7,shortcircuit,109.819,110.005,111.845,135.075,-25.070
mldsa65,5,2,7,verifyall,378.970,385.612,392.300,,
mldsa65,5,2,7,shortcircuit,109.747,109.940,111.903,135.075,-25.135
mldsa65,5,3,7,verifyall,485.198,491.783,502.054,,
mldsa65,5,3,7,shortcircuit,222.212,224.997,231.023,242.525,-17.528
mldsa65,5,4,7,verifyall,605.602,613.102,626.222,,
mldsa65,5,4,7,shortcircuit,335.199,339.972,347.219,349.975,-10.003
mldsa65,5,5,7,verifyall,714.701,724.252,738.117,,
mldsa65,5,5,7,shortcircuit,445.890,451.845,460.685,457.425,-5.580
