strategy,role,n,t,k,wire,signed_canonical,sig_block,keys_block,n_sig,att_ed,att_h65,att_h87,att_hfn,sig_lens,verify
C,root,5,3,0,5190,4522,643,2926,3,3,0,0,0,64;64;64,"ok(v=3,qs=0)"
C,timestamp,3,2,0,683,229,429,0,2,2,0,0,0,64;64,"ok(v=2,qs=0)"
C,snapshot,3,2,0,810,356,429,0,2,2,0,0,0,64;64,"ok(v=2,qs=0)"
C,targets,4,3,0,2017,1349,643,0,3,3,0,0,0,64;64;64,"ok(v=3,qs=0)"
C,vendor,3,2,0,794,340,429,0,2,2,0,0,0,64;64,"ok(v=2,qs=0)"
F,root,5,3,3,84192,63622,20545,61846,3,0,3,0,0,3381;3381;3381,"ok(v=3,qs=3)"
F,timestamp,3,2,2,13953,231,13697,0,2,0,2,0,0,3381;3381,"ok(v=2,qs=2)"
F,snapshot,3,2,2,14081,359,13697,0,2,0,2,0,0,3381;3381,"ok(v=2,qs=2)"
F,targets,4,3,3,33703,13133,20545,0,3,0,3,0,0,3381;3381;3381,"ok(v=3,qs=3)"
F,vendor,3,2,2,14062,340,13697,0,2,0,2,0,0,3381;3381,"ok(v=2,qs=2)"
QA,root,5,3,2,57858,43922,13911,42206,3,1,2,0,0,3381;3381;64,"ok(v=3,qs=2)"
QA,timestamp,3,2,1,7318,230,7063,0,2,1,1,0,0,3381;64,"ok(v=2,qs=1)"
QA,snapshot,3,2,1,7446,358,7063,0,2,1,1,0,0,3381;64,"ok(v=2,qs=1)"
QA,targets,4,3,1,16507,9205,7277,0,3,2,1,0,0,3381;64;64,"ok(v=3,qs=1)"
QA,vendor,3,2,1,7428,340,7063,0,2,1,1,0,0,3381;64,"ok(v=2,qs=1)"
OPT,root,5,3,3,74308,45830,28453,44098,3,0,0,3,0,4699;4699;4699,"ok(v=3,qs=3)"
OPT,timestamp,3,2,1,2010,230,1755,0,2,1,0,0,1,727;64,"ok(v=2,qs=1)"
OPT,snapshot,3,2,1,2144,358,1761,0,2,1,0,0,1,730;64,"ok(v=2,qs=1)"
OPT,targets,4,3,1,16507,9205,7277,0,3,2,1,0,0,3381;64;64,"ok(v=3,qs=1)"
OPT,vendor,3,2,1,7428,340,7063,0,2,1,1,0,0,3381;64,"ok(v=2,qs=1)"
