strategy,repo,role,wire
C,director,root,5190
C,director,targets,888
C,director,snapshot,681
C,director,timestamp,683
C,image,root,5190
C,image,targets,1786
C,image,vendor,674
C,image,snapshot,810
C,image,timestamp,683
F,director,root,84192
F,director,targets,20790
F,director,snapshot,13951
F,director,timestamp,13953
F,image,root,84192
F,image,targets,33472
F,image,vendor,13942
F,image,snapshot,14081
F,image,timestamp,13953
QA,director,root,57858
QA,director,targets,7522
QA,director,snapshot,7316
QA,director,timestamp,7318
QA,image,root,57858
QA,image,targets,16276
QA,image,vendor,7308
QA,image,snapshot,7446
QA,image,timestamp,7318
OPT,director,root,74308
OPT,director,targets,7522
OPT,director,snapshot,2008
OPT,director,timestamp,2008
OPT,image,root,74308
OPT,image,targets,16276
OPT,image,vendor,7308
OPT,image,snapshot,2132
OPT,image,timestamp,2004
