scheme,tier,flash_verify_only_B,stack_frame_B,heap_peak_B,pk_B,sig_B,ram_verify_B,verify_us
mldsa44,portable,32323,50672,208,1312,2420,54612,66.842
mldsa44,avx2,82719,43904,208,1312,2420,47844,18.179
mldsa65,portable,31347,78320,208,1952,3309,83789,109.477
mldsa65,avx2,73147,68480,208,1952,3309,73949,29.534
mldsa87,portable,28707,121328,208,2592,4627,128755,188.096
mldsa87,avx2,81307,107424,208,2592,4627,114851,46.106
fndsa512,portable,122547,41184,208,897,656,42945,32.591
fndsa512,avx2,191683,41184,208,897,658,42947,29.904
fndsa1024,portable,122563,82144,208,1793,1269,85414,61.848
fndsa1024,avx2,191699,82144,208,1793,1268,85413,57.854
slhdsa128s,portable,21587,1120,96,32,7856,9104,375.584
slhdsa128s,avx2,51627,4816,96,32,7856,12800,186.078
slhdsa128f,portable,21091,1024,96,32,17088,18240,1090.776
slhdsa128f,avx2,51147,4816,96,32,17088,22032,485.087
slhdsa256s,portable,40227,2944,208,64,29792,33008,841.011
slhdsa256s,avx2,82187,17552,208,64,29792,47616,389.198
slhdsa256f,portable,39779,2816,208,64,49856,52944,1692.73
slhdsa256f,avx2,81739,17552,208,64,49856,67680,714.719
