scheme,tier,impl,flash_code_B,rodata_B,data_B,bss_B,flash_total_B,static_ram_B,heap_peak_verify_B,max_stack_frame_B
mldsa44,portable,clean,31030,1293,0,0,32323,0,208,50672
mldsa44,avx2,avx2,73942,8689,88,0,82719,88,208,43904
mldsa65,portable,clean,29990,1357,0,0,31347,0,208,78320
mldsa65,avx2,avx2,65638,7421,88,0,73147,88,208,68480
mldsa87,portable,clean,27414,1293,0,0,28707,0,208,121328
mldsa87,avx2,avx2,72566,8653,88,0,81307,88,208,107424
fndsa512,portable,clean,92134,30413,0,0,122547,0,208,41184
fndsa512,avx2,avx2,160630,31053,0,0,191683,0,208,41184
fndsa1024,portable,clean,92150,30413,0,0,122563,0,208,82144
fndsa1024,avx2,avx2,160646,31053,0,0,191699,0,208,82144
slhdsa128s,portable,clean,21286,301,0,0,21587,0,96,1120
slhdsa128s,avx2,avx2,51318,309,0,0,51627,0,96,4816
slhdsa128f,portable,clean,20790,301,0,0,21091,0,96,1024
slhdsa128f,avx2,avx2,50838,309,0,0,51147,0,96,4816
slhdsa256s,portable,clean,39862,365,0,0,40227,0,208,2944
slhdsa256s,avx2,avx2,81142,1045,0,0,82187,0,208,17552
slhdsa256f,portable,clean,39414,365,0,0,39779,0,208,2816
slhdsa256f,avx2,avx2,80694,1045,0,0,81739,0,208,17552
